Unique, e.g. BJ001;Must match Cities sheet;English name;中文名 (for taxis & maps);BJ001_cover.jpg;attraction / restaurant / experience / shopping / nightlife;2-3 objective sentences;What makes this special?;Practical tips for foreigners;Scams, closures, things to know;Comma-separated;Decimal, e.g. 39.9163;Decimal, e.g. 116.3972;Neighborhood name;"e.g. 08:30-17:00, or ""24h""";;Realistic visit time (minutes);"0=free, 1=cheap, 2=mid, 3=expensive; 4; 5";indoor / outdoor;any / daytime/ morning / afternoon / evening ;Comma-sep: solo, couple, freinds, family, elderly;best months for visit;YES / NO;1-5 scale (5=very friendly);
BJ010;BJ;Wangfujing Street;王府井;BJ010_cover.jpg;attraction;A legendary shopping street blending old-school Beijing heritage with modern malls. It’s a great spot for a night stroll and some souvenir hunting. A legendary shopping street blending old-school Beijing heritage with modern malls. It’s a great spot for a night stroll and some souvenir hunting.;Time-honored brand shops, Wangfujing Bookstore, Heping Guoju (retro underground Beijing).;"Visit the Hepingguo (Peace Fruit) underground for a nostalgic ""Old Beijing"" market experience. Large shopping malls like APM are here.";The famous snack street has been renovated/relocated. Local specialties are more expensive than in other areas. It's crowded on weekends and holidays.;Modern, Foodie, Local Snacks, Takeaway, Citywalk;39.9121;116.4116;Dongcheng;24h;24h;120;2;outdoor;evening;solo, couple, family;4,5,6,9,10,11. ;NO;5;
BJ011;BJ;Ming Tombs;明十三陵;BJ011_cover.jpg;attraction;This is the tomb of 13 Ming Dynasty emperors. At the Dingling Underground Palace, you can descend deep underground and enter the ancient stone-built mausoleum.;Dingling Underground Palace, Ling'en Hall of Changling, Sacred Way stone statues.;Dingling (underground palace) and Changling (largest hall) are the primary sites to visit. Walk the Sacred Way to see the stone statues. Recommended self-driving tour;The area is far from the city center, and the sites are spread out, so renting a car or joining a tour group is more convenient than using public transportation.;UNESCO, Imperial, Historical, Nature;40.2942;116.2278;Changping;"08:00(Apr.-Oct.); 08:30(Nov.- Mar.)";"17:30(Apr.-Oct.); 17:00(Nov.-Mar.)";180;2;outdoor;daytime;solo, couple, family, elderly;4,5,6,9,10,11;NO;3;
BJ012;BJ;Temple of Earth Park;地坛公园;BJ012_cover.jpg;attraction;A peaceful park used by emperors to worship the Earth God. It’s a local favorite in autumn when the gingko trees turn bright yellow.;Gingko Avenue, the Altar of Earth, authentic local morning exercises.;On a sunny afternoon, the sunlight shining on the ancient altar wall creates a shimmering effect, just like the surface of the sea. The falling leaves of ginkgo trees in autumn are very beautiful.;Very crowded on weekends and holidays. This place carries a profound sense of Chinese literature. It is recommended to visit after understanding the relevant background for a better experience.;Park, Historical, Local Life, Culture, Nature;39.9535;116.4101;Dongcheng;6:00;"21:30(Apr.-Oct.); 20:30(Nov.-Mar.)";90;1;outdoor;daytime;solo, couple, family, elderly;9,10.;NO;3;
BJ013;BJ;National Museum of China;国家博物馆;BJ013_cover.jpg;experience;It located in Tiananmen Square, it is a grand complex. It houses everything from ancient bronze treasures to modern historical artifacts, making it a must-visit for history enthusiasts.;"Ancient bronze treasures (Houmuwu Ding), the ""Ancient China"" exhibit, view of Tiananmen Square.";Free admission but must book online days in advance via official website/WeChat. Passport is required for entry.;"Closed on Mondays. No food or liquids allowed inside; bag checks are rigorous. Pay attention to the queue signs and avoid getting lost or joining the wrong queue.";Museum, Historical, Art, Culture, Must-see;39.9052;116.4018;Dongcheng;9:00;17:00;240;0;Indoor;daytime;solo, couple, family, elderly;1,2,3,4,5,6,7,8,9,10,11,12;YES;4;
BJ014;BJ;Bird's Nest (National Stadium);鸟巢;BJ014_cover.jpg;attraction;The massive steel stadium from the 2008 Olympics. Most people come here just to snap a photo of its unique exterior, especially at night when it glows red.;Intricate steel structure, the Sky Walk, night-time red lighting.;The Bird's Nest at night is especially spectacular when viewed from the outside after closing time.;Closed on mondays. Internal tours require separate tickets. External light usage time varies with the seasons;Olympics, Landmark, Architecture, Modern, Photography;39.9928;116.3932;Chaoyang;10:00;18:00;60;2;outdoor;evening;solo, couple, family;4,5,6,7,8,9,10;YES;4;
BJ015;BJ;Water Cube (National Aquatics Center);水立方;BJ015_cover.jpg;attraction;"Right across from the Bird's Nest, famous for its blue ""bubble"" walls. It’s now a water park and looks amazing when it lights up in different colors at night.";"The ""bubble"" exterior, indoor water park, colorful night lighting.";"Best viewed at night when the light shows are active. The Water Cube is now an ""Ice Cube"" with a skating rink.";"Olympic Park is vast; prepare for lots of walking.";Olympics, Landmark, Architecture, Modern;39.9918;116.3846;Chaoyang;"09:00(Apr.-Oct.); 09:00(Nov.-Mai.)";"21:30(Apr.-Oct.); 28:30(Nov.-Mai.)";60;1;outdoor;evening;solo, couple, family;1,2,3,4,5,6,7,8,9,10,11,12;YES;4;
BJ016;BJ;Qianmen Street;前门大街;BJ016_cover.jpg;shopping;A historic shopping street south of Tiananmen. It has old-fashioned trams and classic shops. It‘s a bit touristy, but great for soaking up old Beijing vibes.;"The ""Dang Dang"" tram, century-old brand shops (Dashilar), historic architecture.";"Ride the vintage ""Dangdang"" tram car. Walk into the side street ""Dashilan"" . Eat traditional snacks.";"Avoid the ""tours"" offered by strangers on the street.";Historical, Architecture, Local Life, Foodie, Citywalk;39.8967;116.3981;Dongcheng;24h;24h;90;1;outdoor;evening;solo, couple, family, elderly;12,1,2;NO;5;
BJ017;BJ;Shichahai;什刹海;BJ017_cover.jpg;nightlife;A lake district surrounded by hutongs. You can boat in summer, skate in winter, or hit the lakeside bars at night.It's where history meets nightlife.;Yinding Bridge mountain view, Houhai bar street, rickshaw tours.;Visitors can experience the Grain Rain Cultural Festival and watch dragon boat races in the summer. In winter, they can enjoy traditional ice and snow activities, including ice curling, ice ball games, and ice sleds.;Avoid buying dried fruit from unpackaged street vendors.;River View, Historical, Local Life, Citywalk, Nature;39.9427;116.3820;Xicheng;8:00;00:00;120;1;outdoor;evening;solo, couple, family;1,2,6,7,8,11,12;NO;5;
BJ018;BJ;Beihai Park;北海公园;BJ018_cover.jpg;attraction;It is one of the oldest royal gardens and a great place to rent a boat to explore the beautiful scenery around the Forbidden City, making it a truly relaxing destination.;The White Dagoba, Nine-Dragon Screen, boating on the lake.;Take a ferry to Qionghua Island to see the White Dagoba. Best visited in summer for lotus blossoms.;Closed on Mondays. The climb to the White Dagoba involves many stairs.;Park, Imperial, Historical, Nature, River View;39.9254;116.3895;Xicheng;"06:00(Apr.-Oct.); 06:30(Nov.-Mar.)";"21:00(Apr.-Oct.); 20:00(Nov.-Mar.)";120;1;outdoor;afternoon;solo, couple, family, elderly;1,2,3,4,5,6,7,8,9,10,11,12;NO;4;
BJ019;BJ;Prince Kung's Mansion;恭王府;BJ019_cover.jpg;attraction;"The former home of Heshen, a famous Qing dynasty official. It’s known for the ""Fu"" (Good Fortune) stele in the garden and is even more ornate than some palaces.";"The ""Fu"" (Good Fortune) Stele, the elaborate back garden, the ""Treasury Wall.""";"Look for the ""Fu"" (Fortune) stele hidden in the secret garden cave. Audio guides explain the complex feng shui layout.";Closed on Mondays. Daily visitor capacity is strictly limited. Reservations are required during peak season.  Online reservations require visitors to exchange them for paper tickets on-site.;Historical, Architecture, Imperial, Culture;39.9372;116.3853;Xicheng;8:30;17:00;120;1;outdoor;any;solo, couple, family, elderly;1,2,3,4,5,6,7,8,9,10,11,12;YES;3;
BJ020;BJ;Tian'anmen Square;天安门;BJ020_cover.jpg;attraction;The heart of Beijing. Most people come for the flag-raising ceremony or to see the massive Gate of Heavenly Peace. it’s a must-see landmark.;Flag-raising ceremony, the Gate of Heavenly Peace, Monument to the People's Heroes.;Reservation is mandatory via the official WeChat mini-program. Arrive very early for the sunrise flag-raising ceremony.;"Expect multiple layers of security checks; carry your original passport. Lighters and knives are strictly prohibited.";Landmark, Historical, Must-see;39.9055;116.3976;Dongcheng;5:00;22:00;60;0;outdoor;morning;solo, couple, family, elderly;9,10.;YES;4;
BJ021;BJ;Old Summer Palace;圆明园;BJ021_cover.jpg;attraction;The ruins of a grand royal park destroyed in the 1800s. The stone pillars at Dashuifa are a haunting but beautiful reminder of the past.;Dashuifa ruins, black swans on the lake, the Western Mansion site.;"The ""Western Mansions"" ruins (Dashuifa) is the most famous area. Use the park electric carts to save time.";"Very little shade in the ruins area; bring sun protection.";Historical, Imperial;40.0075;116.2974;Haidian;7:00;21:00;180;1;outdoor;daytime;solo, couple, family;9,10.;NO;4;
BJ022;BJ;Quanjude Roast Duck;全聚德（前门大街门店）;BJ022_cover.jpg;restaurant;The ancestor of Peking duck. This grand flagship store has hosted world leaders and is the ideal place to enjoy a formal, traditional Peking duck feast.;"Traditional ""hung-oven"" roasting, historic flagship scale, duck slicing ritual.";The Hepingmen branch is the flagship with grand decor and a dedicated duck museum. There are seasonal dishes, such as spring tea drinks, summer iced desserts, and seasonal limited-edition sauces.;Expect a service charge and high prices. Reservations are recommended for peak hours.;Cuisine, Must-try, Foodie;39.8995;116.3849;Xicheng;11:00;20:00;120;3;indoor;any;solo, couple, family, elderly;1,2,3,4,5,6,7,8,9,10,11,12;YES;4;
BJ023;BJ;Siji Minfu Roast Duck;四季民福（故宫店）;BJ023_cover.jpg;restaurant;Currently the trendiest duck spot. The big draw here is the view. Some tables look directly out at the Forbidden City’s corner towers.;Golden views of the Palace moat, crispy Peking duck, classic Beijing snack platters.;Ask for a window seat to view the Forbidden City moat while dining. Get a queue number early online via apps like Meituan.;Waiting times for a window seat can exceed 3 hours.  Better to make a reservation for peak hours.;Cuisine, Must-try, Foodie, Instagram;39.9183;116.4089;Dongcheng;10:30;22:30;120;2;indoor;any;couple, family;1,2,3,4,5,6,7,8,9,10,11,12;YES;4;
BJ024;BJ;Donglaishun Hotpot;东来顺（王府井店）;BJ024_cover.jpg;restaurant;If you're craving traditional copper pot mutton hot pot, this is the place to go. Thinly sliced ​​mutton and rich sesame sauce are their signature dishes.;Copper-pot charcoal fire, paper-thin mutton, traditional sesame dip.;Try the traditional copper pot instant-boiled mutton. The sesame dipping sauce is a must-try.;"Copper pots are hot; be careful if dining with children.";Hotpot, Cuisine, Must-try, Foodie;39.9142;116.4114;Dongcheng;11:00;21:30;120;2;indoor;any;solo, couple, family;1,2,3,4,5,6,7,8,9,10,11,12;NO;4;
BJ025;BJ;Jubaoyuan Hotpot;聚宝源;BJ025_cover.jpg;restaurant;This restaurant is a favorite among locals in the Muslim Quarter (Niujie). The meat is top-notch, and their signature dishes include Qianlong cabbage and freshly baked sesame buns.;Fresh hand-cut lamb, legendary sesame buns (Shaobing), local Niujie vibes.;Hand-cut meat has a better texture than machine-cut meat. The meat slices are ready to use as soon as they change color for hot pot.;It's best to queue before peak hours.;Hotpot, Must-try;39.8868;116.3633;Xicheng;10:00;22:00;120;2;indoor;any;solo, couple, family;1,2,3,4,5,6,7,8,9,10,11,12;NO;2;
BJ026;BJ;Yaoji Chaogan (Fried Liver);姚记炒肝;BJ026_cover.jpg;restaurant;"A famous local eatery near the Drum Tower. Try the ""Chaogan"" (stewed liver) and pork buns if you want to eat like a real Beijing local for breakfast.";Liver and intestine stew, fried pork buns, Drum Tower backdrop.;Authentic Beijing breakfast may not be to everyone's liking.;"Made from liver, it has a slightly fishy smell; those sensitive to this should try it with caution. Noisy in restaurant.";Local Snacks;39.9409;116.3967;Dongcheng;6:30;21:20;30;1;indoor;morning;solo,couple;1,2,3,4,5,6,7,8,9,10,11,12;NO;1;
BJ027;BJ;King's Joy;京兆尹;BJ027_cover.jpg;restaurant;A Michelin 3-star vegetarian restaurant near Lama Temple. It’s very high-end with a misty, zen atmosphere—perfect for a special, fancy meal.;Michelin 3-star vegetarian dining, courtyard Zen atmosphere, artistic presentation.;This vegetarian restaurant uses mushrooms and nuts to mimic the texture of meat. ;"Very expensive; smart casual dress code recommended. Very expensive; smart casual dress code recommended. A 15% service charge applies. ";Cuisine, Art, Architecture, Foodie;39.9482;116.4164;Dongcheng;"11:00(Lunch); 17:30(Dinner)";"14:00(Lunch); 21:00(Dinner)";120;5;indoor;daytime;couple, family;1,2,3,4,5,6,7,8,9,10,11,12;NO;5;
BJ028;BJ;Jade Garden;翠园;BJ028_cover.jpg;restaurant;A high-end Cantonese restaurant known for its incredible Napoleon cake. A great choice if you want a break from local Beijing flavors.;Crispy roast pork, signature Napoleon cake, premium Cantonese dim sum.;Desserts are a safe bet. Hong Kong-style dim sum and the signature braised beef brisket are also highly recommended. Cantonese dim sum is only served between 11:00 and 14:00 PM.;The restaurant charges a 10% service charge, and some dishes (such as the Peking duck at Cuiyuantang) are not very cost-effective.;Cuisine, Modern, Foodie, Architecture, Culture;39.9124;116.4132;Dongcheng;10:00;22:00;90;4;indoor;any;couple, family;1,2,3,4,5,6,7,8,9,10,11,12;NO;5;
BJ029;BJ;Daoxiangcun Zero Store;稻香村零号店;BJ029_cover.jpg;shopping;This is a classic Beijing bakery that blends modern elements. Selling beautifully designed and creatively crafted pastries, it makes a perfect souvenir.;Creative Beijing pastries, cute snack designs, traditional-meets-modern gifts.;This specific shop offers creative, freshly baked pastries in unique shapes like lions and gourds. Great for edible souvenirs. This specific shop offers creative, freshly baked pastries in unique shapes like lions and gourds. Great for edible souvenirs.;There is usually a long queue.;Local Snacks, Takeaway, Must-try, Foodie, Culture;39.9413;116.4252;Dongcheng;8:30;20:00;30;1;indoor;any;solo, family;1,2,3,4,5,6,7,8,9,10,11,12;NO;3;
BJ030;BJ;Heyan Meat Pie;河沿肉饼;BJ030_cover.jpg;restaurant;A highly popular local eatery located just east of the Forbidden City. Their signature dish is the Meat Pie. The crust is rolled incredibly thin, while the meat filling inside is thick, juicy, and packed with flavor.;Golden crispy crust, juicy meat filling, home-style comfort food.;"It is famous for its ""roubing"" (meat pie); it is quick to serve and comes in both sweet and savory flavors.";"Small restaurant; expect to share tables during lunch rush.";Local Snacks, Must-try, Foodie;39.9158;116.4064;Dongcheng;9:00;21:30;60;1;indoor;any;solo, family;1,2,3,4,5,6,7,8,9,10,11,12;NO;3;
BJ031;BJ;Niujie (Ox Street);牛街;BJ031_cover.jpg;experience;This is the heart of Beijing's Muslim Quarter. If you're looking for the most delicious mutton hot pot, glutinous rice cakes, and tender, juicy beef pies, this is a food paradise.;Authentic Halal food, historic mosque, street snacks.;Bai Ji Rice Cake, Man Ji Baked Cake, Yue Sheng Zhai's Fried Pork, Yi Bao Lotus Leaf Steamed Rice Cake, Cheese Wei are recommended.;Foods made with glutinous rice should be eaten while they are hot, as they will taste worse when they cool down.;Local Life, Local Snacks;39.8865;116.3635;Xicheng;24h;24h;120;1;outdoor;morning;solo, family;1,2,3,4,5,6,7,8,9,10,11,12;NO;2;
BJ032;BJ;Yandai Xiejie (Skewed Tobacco Pouch Street);烟袋斜街;BJ032_cover.jpg;attraction;A century-old alley near Shichahai. It’s famous for its unique slanted layout and is packed with quirky souvenir shops and boutiques.;"Centuries-old ""Pipe"" alley, post office with custom stamps, lake connection.";Explore the surrounding hutongs by rickshaw. You can get a special postmark at the Qing Dynasty post office counter and send a handwritten postcard. Yandai Street is an ideal place to buy traditional souvenirs.;Bars around the lake can be very loud and overpriced at night. The alleyways are mostly paved with stone slabs, so it is recommended to wear comfortable shoes.;Historical, Citywalk, Local Life, Instagram, Architecture;39.9392;116.3955;Xicheng;24h;24h;60;1;outdoor;afternoon;solo,couple;6,7,8,11,12,1,2;NO;5;
BJ033;BJ;Yangmeizhu Xiejie;杨梅竹斜街;BJ033_cover.jpg;attraction;A trendy yet quiet Hutong. It's filled with designer etudios, independent bookstores and stylish cafes. Much more peaceful than other Hutong.;Designer studios, vintage bookstores, quiet artistic vibes.;"Beijing's signature ""Erba Coffee,"" paper-cut maps, and unique souvenirs.";"Taking photos at the ""Beijing Flavor Time"" and ""Song Family Calligraphy and Painting"" attractions requires making a purchase before it is permitted at these special scenic spots.";Art, Citywalk, Local Life, Photography, Culture;39.8949;116.3898;Xicheng;24h;24h;60;1;outdoor;afternoon;solo, couple;4,5,6,9,10,11. ;NO;4;
BJ034;BJ;Martini;Martini;BJ034_cover.jpg;nightlife;A chic, upscale lounge and terrace bar located in the heart of Sanlitun, known for its polished cocktails and sophisticated crowd.;The outdoor terrace overlooking the bustling Sanlitun crossroads.;"Order their signature martinis; the bartenders are among the most skilled in the district.";"There is often a dress code; avoid flip-flops or overly casual sportswear.";Bar, Modern, Entertainment, Instagram, Skyline;39.9335;116,4540;Chaoyang;18:00;2:00;90;3;indoor;evening;solo, couple;4,5,6,9,10,11. ;NO;4;
BJ035;BJ;Beijing Exhibition Center;北京展览馆;BJ035_cover.jpg;experience;A massive Soviet-style building with a grand spire. It hosts various expos and is home to the famous Moscow Restaurant.;"Soviet architecture, soaring spire, the famous ""Moscow Restaurant.""";"Iconic Soviet-style architecture. Check for rotating trade fairs, concerts, or occasional art exhibitions. Don't miss the ""Moscow Restaurant"" nearby.";"The park is free to enter; exhibitions require separate tickets.";Architecture, Museum, Art, Historical, Culture;39.9400;116.3438;Xicheng;8:00;18:00;90;1;indoor;daytime;solo, family;1,2,3,4,5,6,7,8,9,10,11,12;NO;3;
BJ036;BJ;Tsinghua University;清华大学;BJ036_cover.jpg;attraction;"China’s top university. Known for its beautiful ""Lotus Pond by Moonlight"" and classic brick campus buildings.";The Second Gate (Old Gate), Lotus Pond, red-brick western-style campus.;"Public tours are only available during weekends and holidays; reservation via WeChat is required. Visit the West Gate (iconic) and the Old Campus.";Very difficult to get a reservation during peak seasons. Academic buildings are restricted.;Historical, Architecture, Culture, Landmark, Photography;40.0001;116.3262;Haidian;24h;24h;120;0;outdoor;morning;solo, family;4,5,6,9,10,11. ;YES;2;
BJ037;BJ;Beijing Wildlife Zoo;北京野生动物园;BJ037_cover.jpg;experience;This is a massive park where you can drive through lion/tiger habitats or take a caged bus for close-up animal encounters.;Self-drive safari, caged bus predator encounters, interactive lemur feeding.;Buying food provided by the zoo in advance allows you to feed the wild animals up close and ride the miniature train to see a wide variety of animals.;"Located in Daxing, far from the city center; plan for a full day trip. You cannot bring your own food. The animals are more enthusiastic about interacting with you in the morning. Need reservation.";Zoo, Nature, Photography, Park, Entertainment;39.4975;116.3245;Daxing;"08:30(Apr.-Oct.); 09:00(Nov.-Mar.)";17:30;300;2;outdoor;morning;family;4,5,6,9,10,11. ;YES;4;
BJ038;BJ;Beijing Museum of Arts and Crafts;北京工艺美术馆;BJ038_cover.jpg;experience;Located near the Olympic park, it houses national treasures like jade carvings and cloisonné—a must for fans of traditional arts.;"Imperial ""Four Treasures"" (Jade, Ivory, Cloisonné, Lacquer).";"Located within the Gongmei Mansion on Wangfujing; features ""Four Treasures"" of Beijing crafts.";"Many items are for sale; distinguish between museum pieces and retail goods. Admission is free, but online reservations are required.";Art, Museum, Culture, Historical, Architecture;40.0008;116.3919;Chaoyang;9:00;17:00;120;1;indoor;afternoon;solo, elderly;1,2,3,4,5,6,7,8,9,10,11,12;YES;4;
BJ039;BJ;Jingshan Park;景山;BJ039_cover.jpg;attraction;Right across from the Forbidden City. A short hike to the top pavilion gives you the absolute best panoramic view of the palace’s golden roofs.;A panoramic view of the Forbidden City from the top of Jingshan Hill.;Climb to Wanchun Pavilion for the best 360-degree panoramic view of the Forbidden City. Great for sunset photos.;It is a short but steep climb.;Skyline, Park, Photography, Historical, Must-see;39.9231;116.3968;Xicheng;6:30;"21:00(Mai.-Oct.); 20:00(Nov.-Apr.)";60;0;outdoor;afternoon;solo, couple, family, elderly;5,6,9,10,11. ;NO;5;
BJ040;BJ;Sanlitun;三里屯;BJ040_cover.jpg;nightlife;Beijing’s fashion and nightlife hub. It’s home to flagship stores and the city’s most trendy bars and restaurants.;Taikoo Li street fashion, Bar street nightlife;Visit the rooftop bars in the North Village for a quieter view of the skyline.;"Be wary of ""bar scams"" in the smaller, unofficial side alleys; stick to established venues.";Modern, Bar, nstagram, Bar, Citywalk;39.9352;116.4542;Chaoyang;"10:00(Mall); 18:00(Bar)";"22:00(Mall); 04:00(Bar)";180;2;indoor;evening;solo, couple, friends;1,2,3,4,5,6,7,8,9,10,11,12;NO;5;
BJ041;BJ;Bacardi;Bacardi;BJ041_cover.jpg;nightlife;"While Bacardi is a brand, in the Beijing context, it often refers to the ""Bacardi-sponsored"" bars or legacy lounge spots in the Gongti/Sanlitun area known for Latin vibes and rum-based cocktails.";Caribbean-inspired drink menus and high-energy Latin music nights.;Perfect for those who prefer mojitos and cuba libres over the craft beer scene.;"These venues can be quite loud; not ideal for quiet conversation.";Bar, Entertainment, Modern, Instagram, Cuisine;39.9295;116.4490;Chaoyang;19:00;3:00;120;2;indoor;evening;solo, couple;1,2,3,4,5,6,7,8,9,10,11,12;NO;;
